Block_Location
MILVIA STREET &amp; ALLSTON WY
1900 CHANNING WAY
37.8668204207967~-122.303719807903
1700 ALLSTON WAY
3000 AVALON AVE
1100 PARKER ST
BOLIVAR DRIVE &amp; BANCROFT WY
UNIVERSITY AVENUE &amp;SHATTUCK AVE
ADDISON ST/SHATTUCK AVE
2100 MARTIN LUTHER KING JR WY
2100 SHATTUCK AVE
2000 UNIVERSITY AVE
1600 DWIGHT WAY
UNIVERSITY AV &amp; FRONTAGE RD
2500 BANCROFT WAY
1900 ALCATRAZ AVE
1200 ALLSTON WAY
1900 M L KING JR WAY
1300 FOURTH ST
1300 ADDISON ST
1600 OXFORD ST
2800 SEVENTH ST
100 SEAWALL DR
2000 OREGON ST
2000 BERKELEY WY
2400 ASHBY AVE
1800 GRANT ST
1600 CEDAR ST
2200 GRANT ST
2700 CHANNING WAY
2100 SHATTUCK AVE
2900 HARPER ST
1800 FOURTH ST
1900 ROSE ST
TELEGRAPH AV &amp; DURANT AV
ALLSTON WY &amp; MARTIN LUTHER KING JR WY
SAN PABLO AV &amp; UNIVERSITY AV
1300 FRANCISCO ST
1700 UNIVERSITY AVE
1900 HENRY ST
BERKELEY WY &amp; WALNUT ST
1200 CORNELL AVE
2800 PARK ST
2400 TELEGRAPH AVE
1200 MONTEREY AVE
1700 DERBY ST
1300 SAN PABLO AVE
2100 UNIVERSITY AVE
2200 BLAKE ST
1100 DELAWARE ST
1800 SOLANO AVE
1400 UNIVERSITY AVE
2200 SHATTUCK AVE
ASHBY AV &amp; ELLIS ST
UNIVERSITY AV &amp; SAN PABLO AV
2300 GRANT ST
1900 CENTER ST
2400 STUART ST
2800 MILVIA ST
2400 PIEDMONT AVE
2800 HILLEGASS AVE
2400 SPAULDING AVE
2851 BOLIVAR DR
1000 ASHBY AVE
2900 SAN PABLO AVE
2300 SHATTUCK AVE
2700 MATHEWS ST
CENTER STREET &amp; MARTIN LUTHER KING JR WY
2000 FOURTH ST
2400 BONAR ST
800 UNIVERSITY AVE
1900 SHATTUCK AVE
2700 EIGHTH ST
2000 MILVIA ST
55TH AVENUE &amp;BROOKDALE AVE
2000 KITTREDGE ST
1900 SHATTUCK AVE
2300 PIEDMONT AVE
2200 SHATTUCK AVE
3200 BAKER ST
CEDAR STREET &amp; ARCH ST
2600 PARKER ST
1200 ALCATRAZ AVE
TREMONT STREET &amp; PRINCE ST
2600 SHATTUCK AVE
1700 UNIVERSITY AVE
1900 UNIVERSITY AVE
2200 SHATTUCK AVE
2100 MILVIA ST
2600 FULTON ST
SAN PABLO AV &amp; CAMELIA ST
2200 TENTH ST
1600 DERBY ST
KITTREDGE STREET &amp; FULTON ST
500 GRIZZLY PEAK BLVD
2200 ROOSEVELT AVE
1300 SIXTH ST
3000 BATEMAN ST
2315 ROSE
1600 RUSSELL ST
2000 EMERSON ST
900 EUCLID AVE
2600 VIRGINIA ST
100 SPINNAKER WAY
3300 KING ST
2500 SAN PABLO AVE
2300 TELEGRAPH AVE
2200 SHATTUCK AVE
1000 CRAGMONT AVE
2000 OREGON ST
TELEGRAPH AV &amp; DERBY ST
1800 WALNUT ST
1700 HEARST AVE
2900 NEWBURY ST
400 GILMAN ST
1300 8TH ST
2700 PIEDMONT AVE
900 PARKER ST
2300 MCKINLEY AVE
2100 M L KING JR WAY
2000 ASHBY AVE
1000 VIRGINIA ST
